CODE;LIBELLE_CULTURE;CAMPAGNE_DEBUT;CAMPAGNE_FIN
TB;Tournesol MAE biné;2007;2007
TM;Tomates pour transformation;2007;2011
TO;Tournesol;2007;2014
TR;Triticale;2007;2014
UN;Usage non agricole;2007;2013
VE;Vergers;2007;2014
VI;Vignes;2007;2008
VS;Vesces;2007;2014
Y0;Canne à sucre;2007;2014
Y1;Banane export;2007;2014
Y2;Banane créole (fruit et légume);2007;2014
Y3;Tubercules tropicaux;2007;2014
Y4;Café - cacao;2007;2014
Y5;Vanille autres plantes aromatiques;2007;2007
Y6;Horticulture ornem. plein champ;2007;2014
Y7;Horticulture ornem. sous abri;2007;2014
Y8;Légumes sous abri;2007;2014
Y9;Culture spécif. DOM 1;2007;2007
Z1;Ananas;2007;2014
Z2;Culture spécif. DOM 3;2007;2007
Z3;Culture spécif. DOM 4;2007;2007
Z4;Culture spécif. DOM 5;2007;2007
SB;Semences de blé dur commercialisées;2010;2014
SF;Semences fourragères commercialisées;2010;2014
MO;Moutarde commercialisée;2010;2014
PZ;Plantes aromatiques (découplage 2010);2005;2008
AR;Plantes aromatiques (autres que vanille);2008;2014
CF;Chou-fleur;2008;2009
CM;Curcuma;2008;2014
CR;Cerise bigarreaux industrie;2008;2009
DC;Plantes médicinales;2008;2014
ED;Endive;2008;2014
FO;Protéagineux fourragers;2008;2014
FR;Fraise;2008;2014
GR;Géranium;2008;2014
JA;Jachère (rotation culture);2008;2009
LI;Légumes industrie;2008;2009
ML;Melon;2008;2014
PG;Pêches pour transformation;2008;2014
PK;Poires pour transformation;2008;2014
PQ;Pastèque;2008;2014
PU;Prunes d'Ente pour transformation;2008;2014
SA;Cultures sous abattis;2008;2014
UM;Plantes à parfum (autres que géranium et vétiver);2008;2014
VA;Vanille;2008;2014
VB;Vanille sous bois;2008;2014
VT;Vignes de table;2009;2009
